,Compound,Phase,Band gap (eV),HSE-gap (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
69,CTe,CTe_2,0.11092307692299999,0.57,-3.3676366485100004,-3.24879049467,5.1114205297,-3.5994205297,-3.0294205297000003
70,SiO,SiO_0,1.39525203252,2.12613333333,-5.12907278318,-3.72256871814,4.646886121630001,-5.5869527882969985,-3.46081945496
71,SiO,SiO_1,0.538382352941,1.38266666667,,,,,
72,SiO,SiO_2,1.05522580645,2.1182,-5.55473364342,-4.48828203052,6.60038245656,-6.24298245656,-4.124782456559999
73,SiS,SiS_0,1.4302674418599999,2.29456521739,-5.3453473333099994,-3.90681244959,3.06775557508,-5.9285381837800015,-3.6339729663840004
74,SiS,SiS_1,2.2112372093,3.10261538462,-6.349131336669999,-4.1276569180700005,2.3599969118,-6.992804604110002,-3.89018921949
75,SiS,SiS_2,0.856153846154,1.2775,-4.295260319004,-3.430952626696,3.9225041329800003,-4.49575413298,-3.21825413298
76,SiSe,SiSe_0,1.1840000000000002,1.9503,-5.00939980009,-3.81739980009,2.7691916622099995,-5.52084166221,-3.5705416622099997
77,SiSe,SiSe_1,2.1317788018400003,3.04285185185,-6.046676582550001,-3.9051189788699996,2.09871277178,-6.647638697710001,-3.60478684585
78,SiSe,SiSe_2,0.5140317460320001,0.9,-4.027526619412,-3.5054631273483,3.5364227275,-4.1874227275,-3.2874227275
79,SiTe,SiTe_0,0.378274509804,0.654666666667,-3.742011848054,-3.3564628284461,3.2641020136799996,-3.859935347013,-3.2052686803467
80,SiTe,SiTe_1,1.83477884615,2.5326,-5.65181365767,-3.8082559653699994,2.3395829211900003,-6.115382921189999,-3.58278292119
81,SiTe,SiTe_2,0.24521212121199998,0.32799999999999996,-3.8004356106321,-3.548011368208,3.8669440409099995,-3.7749440409099995,-3.4469440409099996
82,GeO,GeO_0,2.74427819549,3.8930000000000002,-5.48466414332,-2.730107752341,3.1275097757,-6.2650097757,-2.3720097757
83,GeO,GeO_1,2.22817582418,3.3152173913,-6.8917893065300015,-4.65143765817,2.14494778779,-7.762556483440001,-4.44733909214
84,GeO,GeO_2,0.253125,1.17125,-6.2230158092,-5.959765809199999,3.62119188939,-7.01331688939,-5.84206688939
85,GeS,GeS_0,1.70199056604,2.47261538462,-5.03160287137,-3.321621739292,2.53326202439,-5.5335697167,-3.060954332082
86,GeS,GeS_1,2.48470588235,3.3472,-6.36047418755,-3.86606242285,2.05204097931,-6.997640979310001,-3.65044097931
87,GeS,GeS_2,1.32186826347,2.00976190476,-4.6152448143199996,-3.2855082873768997,3.2128898044,-4.98027075678,-2.970508852019
88,GeSe,GeSe_0,1.16174496644,1.80821052632,-4.56164251568,-3.3921525827999996,2.3916442917,-4.9397495548600014,-3.131539028542
89,GeSe,GeSe_1,2.27540248963,3.12779310345,-5.94798479627,-3.6631798170099996,1.82663413854,-6.54353069026,-3.41573758682
90,GeSe,GeSe_2,0.940840336134,1.571625,-4.42324513214,-3.4745644598760004,2.9409994518099998,-4.76431195181,-3.1926869518100003
91,GeTe,GeTe_0,0.865210084034,1.36,-4.2662857317,-3.393865563636,2.86589011421,-4.54789011421,-3.18789011421
92,GeTe,GeTe_1,1.7775873786400003,2.48184,-5.30789231385,-3.5217175565699996,2.0200751257099996,-5.75199512571,-3.2701551257099997
93,GeTe,GeTe_2,0.767238095238,1.04354545455,-4.299515999738,-3.5250398092619997,3.34549797862,-4.50977070589,-3.466225251347
94,SnO,SnO_0,2.69476363636,3.6964375,-5.15188503263,-2.4473577599059997,3.13955347741,-5.828272227409999,-2.13183472741
95,SnO,SnO_1,1.0039848484799998,1.1592,,,,,
96,SnO,SnO_2,1.1230588235299999,0.0,,,,,
97,SnS,SnS_0,1.4674489795899999,2.2345200000000003,-4.6158406997500006,-3.140942740568,2.61957852099,-5.080338520990001,-2.8458185209900004
98,SnS,SnS_1,2.31411067194,3.14773333333,-6.3835762254400015,-4.0603548815599995,2.25129048712,-7.0476571537899995,-3.89992382045
99,SnS,SnS_2,1.3664670329700002,2.0652173913,-4.48638882268,-3.1124547567430003,3.1709979502900003,-4.908606645940001,-2.843389254638
100,SnSe,SnSe_0,0.927419354839,1.64666666667,-4.34343516396,-3.408596454281,2.4209480225499997,-4.810281355880001,-3.1636146892170003
101,SnSe,SnSe_1,2.20994715447,2.97706896552,-5.98941244215,-3.77051813321,2.04331588372,-6.59535036648,-3.6182814009599995
