,Phase,Compound,Band gap (eV),VBM (eV),CBM (eV),HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM Absolute (eV),CBM Absolute (eV),HSE vacuum level (eV),HSE-VBM Absolute (eV),HSE-CBM Absolute (eV),Cation,Anion_1,Anion_2,Phase_index,Cation_negativity,Anion_1_negativity,Anion_2_negativity,Cation_mass,Anion_1_mass,Anion_2_mass,Cation_atomic_radius,Anion_1_atomic_radius,Anion_2_atomic_radius,a1 (A),a2 (A),a3 (A),alpha,beta,gamma,Cohesive energy (eV/atom)
95,InSeF_0,InSeF,2.23442962963,-5.48118450185,-3.24681549815,3.31344,-6.255,-2.951,1.88863844519,-7.369822947039999,-5.13545394334,1.89964806801,-8.15464806801,-4.85064806801,In,Se,F,0,1.7,2.4,4.0,114.818,78.96,18.9984,156.0,103.0,42.0,4.10627097078,5.64016612084,25.514798218000003,89.5611286915,89.99326370450001,89.9996454798,-3.89015316667
96,InSeCl_0,InSeCl,2.15028735632,-5.7521260745000005,-3.6018739255,3.1758125,-6.53357575758,-3.36342424242,1.80490619005,-7.557032264550001,-5.40678011555,1.81794870712,-8.3515244647,-5.18137294954,In,Se,Cl,0,1.7,2.4,3.0,114.818,78.96,35.4527,156.0,103.0,79.0,4.15263419685,5.95173756867,32.4192975614,89.5203960965,89.9987018701,89.99937946860001,-3.39791733333
97,InSeCl_1,InSeCl,1.77056756757,-4.95775769231,-3.18724230769,2.9667857142900003,-5.87848275862,-2.91851724138,2.68069679758,-7.63845448989,-5.8679391052700005,2.71183825711,-8.59032101573,-5.63035549849,In,Se,Cl,1,1.7,2.4,3.0,114.818,78.96,35.4527,156.0,103.0,79.0,4.13732446828,4.13732446828,20.8736596008,89.96386915379999,89.96386915379999,60.0074630025,-3.37071166667
98,InSeBr_0,InSeBr,1.7970608108099997,-5.30101010101,-3.50398989899,2.9184,-6.18325806452,-3.27074193548,1.71781425403,-7.0188243550400005,-5.22180415302,1.73021757141,-7.91347563593,-5.00095950689,In,Se,Br,0,1.7,2.4,2.8,114.818,78.96,79.504,156.0,103.0,94.0,4.172164436509999,5.9825155279499995,34.2257600365,89.558287327,89.99650497190001,89.99885684719999,-3.233122
99,InSeBr_1,InSeBr,1.27225263158,-4.25559162304,-2.98340837696,2.39565217391,-5.11183333333,-2.72416666667,2.45664219191,-6.71223381495,-5.440050568869999,2.48272950464,-7.59456283797,-5.2068961713099995,In,Se,Br,1,1.7,2.4,2.8,114.818,78.96,79.504,156.0,103.0,94.0,4.1484454920300005,4.1484454920300005,21.4027891808,89.9645424044,89.9645424044,60.0069785342,-3.21372303333
100,InSeI_0,InSeI,1.1684554455399998,-4.166699507390001,-2.99830049261,2.1445652173900003,-4.88620833333,-2.74879166667,1.8926789121,-6.059378419490001,-4.89097940471,1.90262746981,-6.78883580314,-4.6514191364799995,In,Se,I,0,1.7,2.4,2.5,114.818,78.96,126.90447,156.0,103.0,115.0,4.24162582152,5.957471702109999,35.7483054497,89.66707851780001,89.9999059393,89.99856400690001,-3.05240683333
101,InSeI_1,InSeI,0.38564406779700006,-2.93721666667,-2.55178333333,1.3603846153799999,-3.66421428571,-2.3167857142900004,2.54710415179,-5.4843208184600005,-5.098887485120001,2.55826069575,-6.2224749814599996,-4.87504641004,In,Se,I,1,1.7,2.4,2.5,114.818,78.96,126.90447,156.0,103.0,115.0,4.200515677569999,4.200515677569999,21.9433767434,89.96604445860001,89.96604445860001,60.010295955,-3.0264669
102,InTeF_0,InTeF,2.01908835341,-4.3610120000000006,-2.341988,3.01086956522,-5.05141666667,-2.05058333333,2.01919365986,-6.3802056598600005,-4.36118165986,2.02226710227,-7.07368376894,-4.0728504355999995,In,Te,F,0,1.7,2.1,4.0,114.818,127.6,18.9984,156.0,123.0,42.0,4.43663453837,5.56807856619,27.354683330700002,89.4934245434,89.959059895,89.9981613816,-3.68332916667
103,InTeCl_0,InTeCl,2.03306567164,-4.95001488095,-2.9169851190499996,2.93013333333,-5.599612903230001,-2.67538709677,1.89398513618,-6.84400001713,-4.81097025523,1.90280003367,-7.502412936900001,-4.57818713044,In,Te,Cl,0,1.7,2.1,3.0,114.818,127.6,35.4527,156.0,123.0,79.0,4.42785321054,6.21069397954,32.9337278782,89.5303467199,89.9994566534,89.99384437350001,-3.17988233333
104,InTeCl_1,InTeCl,1.8521827956999999,-4.538567857139999,-2.68643214286,2.50466666667,-5.139480000000001,-2.64252,2.8212826948,-7.359850551939999,-5.50771483766,2.85564077645,-7.995120776450001,-5.49816077645,In,Te,Cl,1,1.7,2.1,3.0,114.818,127.6,35.4527,156.0,123.0,79.0,4.42924542886,4.42924542886,21.5068320813,89.96278482379999,89.96278482379999,60.018455797,-3.1299543
105,InTeBr_0,InTeBr,1.88187301587,-4.8279177215199995,-2.94608227848,2.76113793103,-5.4731,-2.7179,1.82442832724,-6.652346048759999,-4.77051060572,1.83405632536,-7.307156325359999,-4.55195632536,In,Te,Br,0,1.7,2.1,2.8,114.818,127.6,79.504,156.0,123.0,94.0,4.43936240647,6.3024618785,34.3581312029,89.5366070644,89.9980027589,89.9980611103,-3.0130535
106,InTeBr_1,InTeBr,1.69196525097,-4.17545769231,-2.48354230769,2.43425,-4.83188,-2.40512,2.60719925317,-6.78265694548,-5.09074156086,2.63737438929,-7.4692543892900005,-5.042494389290001,In,Te,Br,1,1.7,2.1,2.8,114.818,127.6,79.504,156.0,123.0,94.0,4.4282720111,4.4282720111,22.1231194755,89.96286501969999,89.96286501969999,60.017199196499995,-2.97761396667
107,InTeI_0,InTeI,1.5366713286700002,-4.17031707317,-2.63368292683,2.47144827586,-4.88906666667,-2.42293333333,1.96287297391,-6.133190047079999,-4.59655590074,1.96459525385,-6.85366192052,-4.38752858718,In,Te,I,0,1.7,2.1,2.5,114.818,127.6,126.90447,156.0,123.0,115.0,4.47421862945,6.39926287628,36.0209804748,89.57644978129998,89.99671733870001,89.99778659190001,-2.83275883333
108,InTeI_1,InTeI,1.09666666667,-3.1448021390400003,-2.04819786096,1.8546,-3.85828571429,-2.0117142857099997,2.65374445535,-5.79854659439,-4.701942316309999,2.67040467882,-6.528690393110001,-4.68211896453,In,Te,I,1,1.7,2.1,2.5,114.818,127.6,126.90447,156.0,123.0,115.0,4.45213494456,4.45213494456,22.7960004139,89.96313524969999,89.96313524969999,60.017147176,-2.80697653333
